movie_title,movie_imdb_link,title_year,color,genres,plot_keywords,duration,language,country,content_rating,num_critic_for_reviews,num_user_for_reviews,director_name,imdb_score,budget,gross,movie_facebook_likes,director_facebook_likes,actor_1_name,actor_2_name,actor_3_name,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,num_voted_users,facenumber_in_poster,aspect_ratio
3,http://www.imdb.com/title/tt1517177/?ref_=fn_tt_tt_1,2010,Color,Comedy|Drama|Romance,female nudity|full frontal female nudity|male frontal nudity|menage a trois|pubic hair,119,German,Germany,Unrated,76,18,Tom Tykwer,6.8,,59774,2000,670,Devid Striesow,Sebastian Schipper,Sophie Rois,24,20,9,69,4212,0,2.35
42,http://www.imdb.com/title/tt0453562/?ref_=fn_tt_tt_1,2013,Color,Biography|Drama|Sport,baseball|baseball player|brooklyn dodgers|major league baseball|racism,128,English,USA,PG-13,216,200,Brian Helgeland,7.5,40000000,95001343,28000,241,Harrison Ford,Christopher Meloni,Nicole Beharie,11000,3000,898,16911,66511,0,2.35
1911,http://www.imdb.com/title/tt1772230/?ref_=fn_tt_tt_1,2011,Color,Action|Adventure|Drama|History|War,china|disarming someone|qing dynasty|stabbed with a bayonet|war violence,121,Mandarin,China,R,63,27,Li Zhang,6,18000000,127437,0,0,Bingbing Li,Joan Chen,Jaycee Chan,974,643,187,1887,4670,0,2.35
1982,http://www.imdb.com/title/tt2388621/?ref_=fn_tt_tt_1,2013,Color,Drama,number in title|semi autobiographical,90,English,USA,R,6,3,Tommy Oliver,7.1,1000000,,181,66,Bokeem Woodbine,Ruby Dee,Quinton Aaron,904,782,734,5435,122,4,
#HorrorÂ ,http://www.imdb.com/title/tt3526286/?ref_=fn_tt_tt_1,2015,Color,Drama|Horror|Mystery|Thriller,bullying|cyberbullying|girl|internet|throat slitting,101,English,USA,Not Rated,35,42,Tara Subkoff,3.3,1500000,,750,37,Timothy Hutton,Balthazar Getty,Lydia Hearst,501,418,56,1044,1547,1,
10 Cloverfield LaneÂ ,http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1,2016,Color,Drama|Horror|Mystery|Sci-Fi|Thriller,alien|bunker|car crash|kidnapping|minimal cast,104,English,USA,PG-13,411,440,Dan Trachtenberg,7.3,15000000,71897215,33000,16,Bradley Cooper,John Gallagher Jr.,Sumalee Montano,14000,338,82,14504,126893,0,2.35
10 Days in a MadhouseÂ ,http://www.imdb.com/title/tt3453052/?ref_=fn_tt_tt_1,2015,Color,Drama,,111,English,USA,R,1,10,Timothy Hines,7.5,12000000,14616,26000,0,Christopher Lambert,Kelly LeBrock,Alexandra Callas,1000,445,247,2059,314,1,1.85
"10,000 B.C.Â             ",http://www.imdb.com/title/tt1869849/?ref_=fn_tt_tt_1,,,Comedy,,22,,,,,,Christopher Barnard,7.2,,,0,0,Mathew Buck,,,5,,,5,6,0,
12 MonkeysÂ             ,http://www.imdb.com/title/tt3148266/?ref_=fn_tt_tt_1,,Color,Adventure|Drama|Mystery|Sci-Fi|Thriller,epidemic|mission|paradox|plague|virus,42,English,USA,TV-14,13,56,,7.6,,,12000,,Amanda Schull,Kirk Acevedo,Tom Noonan,757,641,442,3309,20839,0,16
12 Years a SlaveÂ ,http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1,2013,Color,Biography|Drama|History,racism|separation from family|social injustice|torture|whipping,134,English,USA,R,597,695,Steve McQueen,8.1,20000000,56667870,83000,0,QuvenzhanÃ© Wallis,Scoot McNairy,Taran Killam,2000,660,500,4251,439176,0,2.35
127 HoursÂ ,http://www.imdb.com/title/tt1542344/?ref_=fn_tt_tt_1,2010,Color,Adventure|Biography|Drama|Thriller,alone|aron ralston|based on autobiography|canyon|survival,94,English,USA,R,450,440,Danny Boyle,7.6,18000000,18329466,63000,0,James Franco,Treat Williams,Kate Burton,11000,642,223,11984,279179,0,1.85
13 HoursÂ ,http://www.imdb.com/title/tt4172430/?ref_=fn_tt_tt_1,2016,Color,Action|Drama|Thriller|War,based on true story|cia agent|libya|mercenary|u.s. ambassador,144,English,USA,R,204,219,Michael Bay,7.4,50000000,52822418,44000,0,Toby Stephens,James Badge Dale,David Costabile,769,726,681,3580,47764,0,2.35
2 GunsÂ ,http://www.imdb.com/title/tt1272878/?ref_=fn_tt_tt_1,2013,Color,Action|Comedy|Crime|Drama|Thriller,close up of breasts|female nudity|fugitive|money|undercover,109,English,USA,R,265,172,Baltasar KormÃ¡kur,6.7,61000000,75573300,22000,175,Denzel Washington,Patrick Fischler,Fred Ward,18000,497,459,20148,156898,1,2.35
20 Feet from StardomÂ ,http://www.imdb.com/title/tt2396566/?ref_=fn_tt_tt_1,2013,Color,Documentary|Music,backup singer|band|bechdel test passed|concert footage|singer,91,English,USA,PG-13,149,80,Morgan Neville,7.4,1000000,4946250,14000,9,Sheryl Crow,Lou Adler,Merry Clayton,130,19,13,198,9540,0,1.78
2016: Obama's AmericaÂ ,http://www.imdb.com/title/tt2247692/?ref_=fn_tt_tt_1,2012,Color,Documentary,critically bashed|partisan commentary|political propoganda|punctuation in title|reenactment,87,English,USA,PG,30,199,Dinesh D'Souza,5.1,2500000,33349949,0,67,Barack Obama,Zackary Steven Graham,Dinesh D'Souza,871,118,67,1111,9010,0,1.85
21 & OverÂ ,http://www.imdb.com/title/tt1711425/?ref_=fn_tt_tt_1,2013,Color,Comedy,21st birthday|college student|drunken man|pubic hair|standing up to father,93,English,USA,R,168,84,Jon Lucas,5.9,13000000,25675765,11000,24,Justin Chon,Josie Loren,Sarah Wright,552,528,499,2730,60407,0,2.35
21 Jump StreetÂ ,http://www.imdb.com/title/tt1232829/?ref_=fn_tt_tt_1,2012,Color,Action|Comedy|Crime,narcotics|parody|police|remake|undercover cop,109,English,USA,R,375,345,Phil Lord,7.2,42000000,138447667,39000,97,Channing Tatum,Dax Flame,Rob Riggle,17000,971,839,19968,408302,2,2.35
22 Jump StreetÂ ,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,2014,Color,Action|Comedy|Crime,college|drugs|hidden camera|tattoo|undercover,112,English,USA,R,330,322,Phil Lord,7.1,50000000,191616238,24000,97,Channing Tatum,Craig Roberts,Amber Stevens West,17000,920,584,19428,258186,2,2.35
3 BackyardsÂ ,http://www.imdb.com/title/tt1314190/?ref_=fn_tt_tt_1,2010,Color,Drama,number in title,88,English,USA,R,20,23,Eric Mendelsohn,5.2,300000,,92,5,Embeth Davidtz,Edie Falco,Kathryn Erbe,795,659,301,1884,554,0,
3 Days to KillÂ ,http://www.imdb.com/title/tt2172934/?ref_=fn_tt_tt_1,2014,Color,Action|Drama|Thriller,cancer|estranged wife|leather dress|spy|terrorist,123,English,USA,PG-13,211,211,McG,6.2,28000000,30688364,10000,368,Connie Nielsen,Richard Sammel,TÃ³mas Lemarquis,933,194,114,1286,69355,0,2.35
30 Minutes or LessÂ ,http://www.imdb.com/title/tt1622547/?ref_=fn_tt_tt_1,2011,Color,Action|Comedy|Crime,bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal,83,English,Germany,R,220,122,Ruben Fleischer,6.1,28000000,37053924,0,181,Bianca Kajlich,Dilshad Vadsaria,Fred Ward,731,579,459,1987,77935,3,2.35
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon TattooÂ ,http://www.imdb.com/title/tt2417650/?ref_=fn_tt_tt_1,2013,Color,Comedy,exorcism|female nudity|haunted house|lesbian kiss|masturbation,80,English,USA,R,29,13,Craig Moss,2.6,3000000,,2000,19,French Stewart,Ashley Martin,Olivia Alexander,319,302,73,845,2978,0,1.85
300: Rise of an EmpireÂ ,http://www.imdb.com/title/tt1253863/?ref_=fn_tt_tt_1,2014,Color,Action|Drama|Fantasy|War,army|commander|female rear nudity|greek|navy,102,English,USA,R,366,523,Noam Murro,6.2,110000000,106369117,71000,263,Eva Green,Sullivan Stapleton,Peter Mensah,6000,1000,1000,10583,225273,0,2.35
3rd Rock from the SunÂ             ,http://www.imdb.com/title/tt0115082/?ref_=fn_tt_tt_1,,Color,Comedy|Family|Sci-Fi,alien|digit in title|human form|number 3 in title|talking on a rooftop,60,English,USA,TV-PG,22,86,,7.8,,,0,,Joseph Gordon-Levitt,Wayne Knight,Kristen Johnston,23000,967,501,25160,38383,4,1.33
47 RoninÂ ,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,2013,Color,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,128,English,USA,PG-13,218,324,Carl Rinsch,6.3,175000000,38297305,35000,47,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,18000,1000,982,20965,116994,2,2.35
5 Days of WarÂ ,http://www.imdb.com/title/tt1486193/?ref_=fn_tt_tt_1,2011,Color,Action|Drama|War,cameraman|epic battle|journalist|south ossetia|street shootout,113,English,Georgia,R,74,61,Renny Harlin,5.6,20000000,17149,0,212,Richard Coyle,Kenneth Cranham,Ana Imnadze,567,111,18,708,12128,9,2.35
50/50Â ,http://www.imdb.com/title/tt1306980/?ref_=fn_tt_tt_1,2011,Color,Comedy|Drama|Romance,best friend|cancer|survival rate|therapist|vomiting,100,English,USA,R,327,378,Jonathan Levine,7.7,8000000,34963967,40000,129,Joseph Gordon-Levitt,Anna Kendrick,Bryce Dallas Howard,23000,10000,3000,39807,270441,2,1.85
8 DaysÂ ,http://www.imdb.com/title/tt3111864/?ref_=fn_tt_tt_1,2014,Color,Drama|Thriller,,90,English,USA,PG-13,,3,Jaco Booyens,6.9,2500000,,224,37,Nicole Smolen,Sebastian Aguilar,Ivette Alvarez,210,0,0,210,44,1,
8: The Mormon PropositionÂ ,http://www.imdb.com/title/tt1484522/?ref_=fn_tt_tt_1,2010,Color,Documentary,church|marriage|mormon|mormon church|proposition,80,English,USA,R,28,30,Reed Cowan,7.1,2500000,99851,0,0,Dustin Lance Black,Emily Pearson,Gavin Newsom,191,12,5,210,1138,0,1.78
90 Minutes in HeavenÂ ,http://www.imdb.com/title/tt4337690/?ref_=fn_tt_tt_1,2015,Color,Drama,heaven|hospital|praying|pronounced dead|recovery,121,English,USA,PG-13,12,29,Michael Polish,4.6,5000000,4700361,0,35,Hayden Christensen,Bobby Batson,Cynthia Barrett,4000,849,473,6617,2047,0,2.35
A Beginner's Guide to SnuffÂ ,http://www.imdb.com/title/tt4058122/?ref_=fn_tt_tt_1,2016,Color,Comedy|Horror|Thriller,,87,English,USA,,,,Mitchell Altieri,8.7,,,8,9,Kimberley Crossman,Luke Edwards,Bree Williamson,467,258,165,1270,13,0,
A Better LifeÂ ,http://www.imdb.com/title/tt1554091/?ref_=fn_tt_tt_1,2011,Color,Drama|Romance,gang|gardener|money|police|truck,98,English,USA,PG-13,94,81,Chris Weitz,7.2,10000000,1754319,0,129,DemiÃ¡n Bichir,Eddie 'Piolin' Sotelo,Robert Peters,749,252,221,2214,13174,0,1.85
